rest_type,cuisines
Dessert Parlor,
Bakery,
Dessert Parlor,
Bakery,
Dessert Parlor,
Delivery,
Sweet Shop,
Confectionery,
Quick Bites,
Delivery,
Dessert Parlor,
Dessert Parlor,
"Sweet Shop, Quick Bites",
Dessert Parlor,
Cafe,
Bakery,
"Bakery, Quick Bites",
Bakery,
Bakery,
"Sweet Shop, Quick Bites",
Bakery,
"Dessert Parlor, Sweet Shop",
Dessert Parlor,
Dessert Parlor,
Casual Dining,
Dessert Parlor,
Sweet Shop,
"Bakery, Quick Bites",
Takeaway,
Dessert Parlor,
Casual Dining,
Casual Dining,
Casual Dining,
Quick Bites,
"Casual Dining, Cafe",
Casual Dining,
 'RATED\n  Amazing place! Must visit! Pocket friendly! Good food! Good ambience! Loved the overall experience! Tried dim sums,
Casual Dining,
Casual Dining,
Lounge,
Pub,
Cafe,
Casual Dining,
Cafe,
Cafe,
Cafe,
Cafe,
Casual Dining,
 nachos and pasta\nMy fav was the 3 nachos in one with 3 types of sauces. The cheese loaded french fries,
Casual Dining,
Casual Dining,
Casual Dining,
Cafe,
Casual Dining,
"Casual Dining, Bar",
Mess,
"Cafe, Casual Dining",
Cafe,
Casual Dining,
Casual Dining,
"Bar, Casual Dining",
"Sweet Shop, Quick Bites",
Cafe,
Cafe,
Cafe,
Quick Bites,
Casual Dining,
 only served buffet style,
Cafe,
Casual Dining,
Cafe,
Casual Dining,
Sweet Shop,
Casual Dining,
Casual Dining,
Casual Dining,
 'RATED\n  excellent taste..great service'),
Casual Dining,
Bar,
Mess,
Casual Dining,
Casual Dining,
Casual Dining,
"Beverage Shop, Quick Bites",
Quick Bites,
Casual Dining,
Casual Dining,
Casual Dining,
Quick Bites,
Casual Dining,
Bar,
Quick Bites,
Casual Dining,
Cafe,
Bar,
Cafe,
Bar,
"Beverage Shop, Quick Bites",
Casual Dining,
Casual Dining,
Quick Bites,
Casual Dining,
Casual Dining,
"Beverage Shop, Quick Bites",
Quick Bites,
Cafe,
Cafe,
Casual Dining,
"Beverage Shop, Quick Bites",
Casual Dining,
Food Truck,
Casual Dining,
Casual Dining,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
 ('Rated 1.0',
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
 'RATED\n  I had cheese melt paneer wrap and jumbo chicken wrap. The veg wrap was good,
Quick Bites,
Quick Bites,
Quick Bites,
Quick Bites,
